drug1_idx,drug2_idx,drug1_smiles,drug2_smiles,true_label,tsne_1,tsne_2
146,1134,C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0,26.403717,-28.592123
528,1236,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1,14.680966,23.485739
1129,1140,CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,0,-24.592152,22.262077
31,617,CCC1(c2ccccc2)C(=O)NCNC1=O,C=CCc1ccccc1OCC(O)CNC(C)C,1,24.955183,-17.038969
285,1719,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,0,33.50974,-28.357983
1068,1555,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0,-38.489178,-20.699215
925,1254,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1,37.827038,12.673904
177,1515,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,NN=c1[nH][nH]c(=NN)c2ccccc12,0,-17.751545,-21.178743
1459,1597,CNC[C@H](O)c1cccc(O)c1,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,1,13.82991,-33.19805
208,685,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0,4.9832954,-37.687866
1045,1818,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,1,-3.5338824,0.21373615
618,1287,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,0,-16.400038,35.455463
67,1672,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O,0,-16.356785,-2.328621
467,561,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,1,21.02359,-12.844583
1111,1237,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,NCCc1ccc(O)c(O)c1,1,14.778376,33.59426
1230,1475,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,1,2.6799684,-21.395561
325,1826,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1,-21.349445,-15.364206
68,792,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,-7.450028,18.211206
680,1260,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,0,-11.937171,-10.448909
210,1797,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,CCCCCCOC(=O)CCC(=O)CN,0,-38.16061,14.291092
1251,1505,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C,1,4.8843465,44.035145
864,962,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,0,-33.468933,-0.4774656
328,1300,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]([C@H](C=O)NC(C)=O)[C@H](O)[C@H](O)CO)C(N)=O)OC(=O)CCCCCCCCCCCCCCC.O.[Na+],CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(O)c(S(=O)(=O)O)cc2S(=O)(=O)O)cc1,0,-17.61631,-20.858322
1007,1661,NNc1nncc2ccccc12,CCCl,0,32.524963,-31.019173
338,383,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0,14.262856,-4.620168
804,1808,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1,10.884096,41.426613
165,587,O=C1OC(OC(=O)c2cccnc2Nc2cccc(C(F)(F)F)c2)c2ccccc21,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Mg+2],0,-27.701834,-45.156677
343,1843,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC/C=C/C(=O)OC,1,-30.423223,-38.708023
394,1433,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,1,14.929216,36.219143
585,1412,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1,40.15682,11.051255
908,1004,NC[C@H](O)c1ccc(O)c(O)c1,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1,20.235662,-27.009361
342,536,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,1,28.618818,-25.409979
153,866,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1,6.823565,13.670836
90,1258,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,1,10.153883,-13.692278
222,1209,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0,-24.75775,23.26477
